is_sarcastic,headline
1,Trump Tackles Medical Supply Shortage By Awarding ExxonMobil Contract To Drill For Ventilators In Arctic
1,New York Quickly Builds Thousands Of Emergency Hamptons Mansions To Shelter Wealthy
1,Disney Announces Plans To Release ‘Mulan’ Directly Into Americans’ Consciousness
1,Employee Proves Diligence By Arriving To Video Conference Call Extra Hour Early Every Morning
1,Man Watching Space Force Rocket Launch Gazes In Awe At The Power Of Human Stupidity
1,"‘What Is This Strange Sensation,’ Announces Nation Putting On Shoes For First Time In A While"
1,New Report Finds Americans Willing To Trust Scientific Knowledge Of Anyone Holding Glass Beaker Up To Light
1,Psychologists: So-Called ‘Dr. Fauci’ Just A Figment Of Nation’s Collective Imagination
1,"New Unhinged PETA Ad Warns That Once You Put Googly Eyes On A Banana, Eating It Is Murder"
1,"Amazon Announces Unlimited Time Off, Increased Health Benefits For All Warehouse Robots"
1,Trump Announces Plan To Retrain Nation’s 3 Million Unemployed Americans As Human Ventilators
1,Global Pandemic That Has Killed Thousands Giving Woman Just The Push She Needed To Organize Tupperware Cabinet
1,Department Of Interior Announces Birds Will Continue Going About Regular Bird Activities During Pandemic
1,Man Reflects On Cyclical Nature Of Existence After Learning McDonald’s Has Stopped Offering All-Day Breakfast Once Again
1,"Congress Sets Aside $1,200 In Trust For Each American Until They Prove They’re Responsible Enough To Handle It"
1,British Man Astounded To Hear How Much It Would Cost To Get Mustard Jar Removed From Rectum Under U.S. Healthcare System
1,Man Just Buying One Of Every Cleaning Product In Case Trump Announces It’s Coronavirus Cure
1,British Royal Family Orders Citizens To Leave U.K. Until Prince Charles Recovers
1,Trump Suggests Ceding New York To Coronavirus As Possible Appeasement Strategy
1,Trump Urges Loosening CDC Restrictions To Let Coronavirus Get To Work
1,GOP Urges End Of Quarantine For Lifeless Bipedal Automatons That Make Economy Go
1,Restless Trump Can’t Believe He Stuck Inside With Nothing To Do But Be President
1,Coronavirus Forces Landlord To Cut Back On Taking Care Of Building From 1 To 0 Hours A Week
1,Self-Isolated Woman Going So Crazy She’s Started Talking To Her Spouse
1,Nation Close To Getting Videoconferencing Software To Work
1,"Dog Not Sure How To Interpret Crazy Dream Where It Saw Squirrel, Barked At Squirrel"
1,Disturbing New Study Finds American 5th-Graders Only Absorbing Targeted Advertisements At 1st-Grade Level
1,Experts Warn Americans Could Still Be Dealing With Coronavirus As Late As Tomorrow Afternoon
1,Trump Orders Manufacturers To Drastically Ramp Up Production Of Hospital Gift Shop Supplies
1,"Warren Tells Supporters To Cut That Pinterest Shit Out, This Is Serious"
1,Obama Kind Of Hurt No One’s Even Asked For His Endorsement
1,Child Doing Stations Of The Cross Reflects On Boredom Christ Must Have Felt During Crucifixion
1,‘I’ll Show Those Pricks!’ Screams Mitt Romney Driving Busload Of Pregnant Women To Abortion Clinic After Being Disinvited To CPAC
1,‘Whatavirus?’ Says Half-Naked Mike Pence Brushing Crumbs Off Stomach While Taking First Call From Trump In 18 Months
1,"‘I Like This Candidate Now And Will Vote For Him,’ Says Area Man After Having To Watch 12th Bloomberg Ad In Single Day"
1,Man Doesn’t Mind Long Commute Because It Gives Him Extra Time To Listen To Voice In Head Saying He Can’t Keep Living Like This
1,"‘No, Stop, Please,’ Shouts Woman As Hands Uncontrollably Google All Of Boyfriend’s Exes"
1,Candidates Struggle To Answer Question About Future Of Granite Countertops During HGTV Town Hall
1,"‘No Way To Prevent This,’ Says Only Nation Where This Regularly Happens"
1,Iran’s Deputy Health Minister Announces He Has Coronavirus And Also Hemorrhoids But That’s A Separate Thing That He Will Deal With On His Own
1,Sanders Supporter Sick Of Movement Being Defined By Small Number Of Toxic Members Like Him
1,Trump Holds Diplomatic Ceremony To Formally Welcome Coronavirus To United States
1,Driver Enraged At Rider Who Threw Up In Ambulance
1,"‘I’m Free, I’m Finally Free!’ Thinks Parent Before Realizing Lost Child Just Hiding Inside Clothes Rack"
1,Moderators Kick Off Debate By Asking Whether Bloomberg Ready To Get Shit Rocked Again
1,Klobuchar Hoping To Distinguish Herself During Debate As Only Candidate Not Sucker Punched In Gut Moments Before Stepping On Stage
1,Elena Kagan Worried She’s A Fraud After Being Only Female Justice Not Called Out By Trump
1,Idiotic Squirrel With Acorn Runs Away From Man As If He Doesn’t Get To Eat All The Nuts He Wants
1,"Reform ‘Fifty Shades’ Reader Doesn’t Think Christian And Ana Literally Indulged In Bladder Control Fetish, But Derives Meaning From Story Nonetheless"
1,Nation’s Men Stunned To Realize Sexual Harassment Problem May Go As Far Back As 1990
1,So-Called ‘Flash Sale’ May Have Been Strategized Weeks In Advance
1,Trump In India Hails Blossoming Relations Between The 2 Planets
1,Embarrassed Heart Surgeon Admits He May Have Accidentally Left Sanders’ Medical Records In Candidate’s Chest
1,Desperate CDC Director Walks Down Hall Of Imprisoned Diseases For One-On-One Talk With Avian Flu About Stopping Coronavirus
1,U.S. Unveils Plan For Rest Of World To Become Carbon-Neutral By 2030
1,Smithsonian Museum Celebrates Black Alternate History Month With Full-Scale Recreation Of W.E.B. Du Bois’ War Zeppelin
1,"Concerned Baby Starting To Worry Lethargic, Distant Mom Not Suffering From Postpartum Depression At All"
1,"Trump Administration Rolls Back Hunting Regulations Forbidding Use Of Chokeholds, Eye Gouging On Birds"
1,Experts Concerned Pale Russian Mystic Constantly At Trump’s Side May Attempt To Influence 2020 Election
1,"GM Ups Ante In SUV Race With New 14-Seat, 11-Door, 7-Wheel, 4-Trunk Chevy Teton"
1,"Passengers Aboard Coronavirus Cruise Ship Refusing To Leave After Forming Unlikely Friendships With Each Other That Transcend Nations, Languages"
1,Bloomberg Housekeepers Brace For Another Day Of Dressing Up Like DNC Candidates And Letting Boss Beat Them In Debate
1,Recently Concussed Americans March On Washington D.C. Demanding The Right To Sleep
1,Biden Begging Donors To Stop Sending Money So He Can Quit Race
1,Increased Airtime Of Chantix Commercials Results In Ray Liotta Qualifying For Democratic Debate
1,"‘I’ll Rule You Peasants With An Iron Fist,’ Says Bloomberg To Standing Ovation During DNC Debate"
1,Panicking Aides Finally Locate Biden At Wrong Venue Following Cirque Du Soleil Performers Onstage
1,"‘I Love My Wife Marcia And 2 Beautiful Kids, Tad And Hayden,’ Says Buttigieg In Latest Campaign Shift"
1,New CIA Torture Program Concert Series Brings Metallica Into Black Sites To Play 72-Hour Sets
1,Thousands Of PETA Activists Descend On Hoover Headquarters To Protest Vacuum Cleaner That Spooked Dog
1,Report: Average Life Expectancy Increases To 18.2 Years For Americans Who Go Out Like Fucking Legends
1,Boy Scouts Leadership Confident Organization Can Overcome Stigma Of Bankruptcy
1,"Armed Teacher Rehearses Shooting Wall, Gunman, 3 Students During Active Shooter Drill"
1,Overwhelmed Archaeologists Struggling To Keep Pace With Glut Of Early Humans Thawed Out By Climate Change
1,Waiter Asks If Couple Would Like To Pack Him Up In Little Box And Take Him Home For Later
1,Experts Recommend Tuning Them Out And Just Trying To Enjoy Your Life
1,Parenting Experts Reveal Forcing Child To Shoot Dying Pet Only Teaches Lesson About Mortality For First 5 Or So Times
1,Pope Francis Attempts To Compromise On Rule-Change Proposals By Allowing Priests To Marry Him
1,Bloomberg Hires Thousands Of Canvassers To Stop Black Men On Street And Force Them To Hear Campaign Pitch
1,Nevada Addresses Concerns About Election Security By Switching To Electronic Voters
1,"Report Finds Average U.S. College Student Over $28,000 In Debt To Yakuza"
1,God Announces Major Overhaul Of Procreation Process For 2021
1,Couple Takes Weekend Trip Outside City To Get Away From All The Arts And Culture
1,CDC Recommends Also Wearing Face Mask On Back Of Head In Case Coronavirus Attacks From Rear
1,Jimmy Carter Added To Mount Rushmore After Becoming 5th Former President To Bowl Perfect 300
1,"‘You Should Put Your Name On The Karaoke List!’ Reports Greedy, Gluttonous Hunger For Strangers’ Approval"
1,Resigned Nutritionists Now Recommend Eating 3 Servings A Day Of Mice Or Bark Or Whatever
1,Fox News Producer Knows His Work Formulaic But At Least It Helps People Escape Reality For Couple Hours
1,CEO Of Robotics Corporation Tells Sobbing Andrew Yang That He Was His Greatest Creation
1,Moderates Worry Klobuchar Splitting People-Who-Will-Vote-For-Anybody Vote
1,Pregnant Woman Finally Knows Joy Of What It Feels Like To Be Big Fat Guy
1,Emergency Room Staff Assures Parents That Burger King Chicken Fries Will Pass Naturally Through Child’s System
1,"‘It’s Time To Go, Mr. Stone,’ Says Ski-Masked William Barr After Running Prison Bus Off Road"
1,"Flustered New Hampshire Bed And Breakfast Host Informs Biden, Sanders, Buttigieg, Warren, Klobuchar They’re All Booked For Same Room"
1,Poll Finds Bloomberg Trailing Among Young Black Males He’s Already Thrown In Prison
1,Man Calms Down From Violent Rage After Seeing ‘Or Current Resident’ On Misaddressed Letter
1,Fertility Clinic Employee Asks Couple If They’d Like To Play With Sperm Out Back And Get To Know It Better
1,NASA Launches Really Nice Nikon DSLR Camera Strapped To Rocket To Gather Photos Of Sun
1,"‘He’s A Cop,’ Say Bernie Backers, Withdrawing Support After Realizing Candidate Vying To Be Commander In Chief"
1,Health Officials Warn It Is Impossible To Tell If American Cruise Ship Passengers Suffering From Coronavirus Or Just Like That
1,Man Crippled By Fear Of Failure As If It Hadn’t Already Happened
1,Increasingly Unhinged Centrists Announce Plan To Round Up Nation Into Camps To Force Them To Engage In Meaningful Dialogue
1,Study Finds Dating Apps Most Effective Way To Find Everyone Your Age Apparently Kayaking Now
1,Mom Still Seething Over Car That Blew Through Stop Sign 15 Years Ago
1,Study Finds Leading Cause Of Childhood Obesity Witches Fattening Up Children To Be Eaten
1,"‘You’re Allowed To Be Naked Sometimes, But Not Other Times,’ Says Brad Pitt In Baffling Oscars Acceptance Speech"
1,"Nervous, Jeans-Wearing Charlize Theron Wishes Someone Had Told Her This Was Supposed To Be Formal Event"
1,Parkinson’s Gene Waiting To Switch On Until Everything Finally Falling Into Place For Local Man
1,Buttigieg Touts Progress Connecting With Black Fortune 500 Executives
1,Movie Expedition Team Annoyed They Only Getting Briefed On Mission Right Before Parachuting Onto Hostile Island
1,EPA Thugs Violently Beat Endangered Toad Who Hasn’t Paid Protection Money
1,‘He’s Got The Mulan Virus!’ Yells Don Jr. Attempting To Quarantine Eric By Duct Taping Garbage Bag Over Head
1,Report: The Nation Has Healed And It’s Time To Rejoice!
1,Hollywood Legend Kirk Douglas Dead In Apparent Age Overdose
1,"Senate Republicans Say One Mistake Should Not Ruin The Life Of A Naive, Promising Young Man Like Trump"
1,Trump Spends National Prayer Breakfast Attacking God For Allowing Impeachment To Ever Happen
1,Lin-Manuel Miranda: ‘You People Are Giving Me Too Much Fucking Money’
